screen	pathway	evaluable_genes_n	observed_mean_normalized_rank	observed_median_normalized_rank	null_mean_normalized_rank	rank_enrichment_ratio	empirical_p_one_sided	fraction_top_1pct	fraction_top_5pct	fraction_top_10pct	n_permutations	FDR_within_screen	biological_domain	preregistered_domain	RSV_replicated	shared_infection_response	pathogen_differential	pathogen_shift
IAV_P01	REACTOME_PHOSPHORYLATION_OF_CD3_AND_TCR_ZETA_CHAINS	20	0.5363005085023785	0.5690032259828313	0.5003920408442233	0.9330441290118673	0.7078292170782922	0.0	0.1	0.1	10000	0.7478950218185728	Antigen_adaptive_immunity	Adaptive_Immunity	False	False	False	Not_significant
IAV_P01	REACTOME_REGULATION_OF_T_CELL_ACTIVATION_BY_CD28_FAMILY	202	0.4344116925772078	0.408606266061567	0.5001436784757812	1.1513126534615339	0.0008999100089991	0.019801980198019802	0.10396039603960396	0.15841584158415842	10000	0.0021910852393021564	Antigen_adaptive_immunity	Adaptive_Immunity	False	False	True	RSV_shifted
IAV_P01	REACTOME_RESPIRATORY_ELECTRON_TRANSPORT	143	0.4506013970719531	0.38886762534857017	0.5000596926885242	1.1097606353152818	0.0182981701829817	0.013986013986013986	0.06293706293706294	0.11888111888111888	10000	0.033054759040225014	Mitochondrial_energy	Metabolism	True	False	True	RSV_shifted
IAV_P01	REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	98	0.23771900361653767	0.09615069167259008	0.5003064591072364	2.104612805437617	9.999000099990002e-05	0.10204081632653061	0.3469387755102041	0.5102040816326531	10000	0.00032937882682320004	Translation_ribosome	Metabolism	False	False	True	RSV_shifted
IAV_P01	REACTOME_RIBOSOME_ASSOCIATED_QUALITY_CONTROL	140	0.2463459690836803	0.11020285417464049	0.5000052412066581	2.029687122815528	9.999000099990002e-05	0.07857142857142857	0.3142857142857143	0.4785714285714286	10000	0.00032937882682320004	Translation_ribosome	Translation	False	False	True	RSV_shifted
IAV_P01	REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE	100	0.232528295696867	0.1181311170649024	0.4998050657772432	2.149437616954836	9.999000099990002e-05	0.08	0.28	0.46	10000	0.00032937882682320004	Translation_ribosome	Translation	False	False	True	RSV_shifted
IAV_P01	REACTOME_RRNA_PROCESSING	200	0.2887230028979168	0.19046968122915414	0.4994548818962217	1.7298756139385714	9.999000099990002e-05	0.08	0.235	0.365	10000	0.00032937882682320004	Translation_ribosome	Translation	False	False	True	RSV_shifted
IAV_P01	REACTOME_SELENOAMINO_ACID_METABOLISM	105	0.26219351210329395	0.11564328284761331	0.5001067175429416	1.9073954711202739	9.999000099990002e-05	0.09523809523809523	0.3142857142857143	0.4666666666666667	10000	0.00032937882682320004	Metabolism	Metabolism	False	False	True	RSV_shifted
IAV_P01	REACTOME_SIGNALING_BY_CSF1_M_CSF_IN_MYELOID_CELLS	30	0.4066433375252884	0.4198698671332495	0.49986727869211	1.2292523510508129	0.042195780421957804	0.03333333333333333	0.06666666666666667	0.2	10000	0.0694989324596952	Myeloid_neutrophil	Neutrophil_Monocyte	False	False	False	Not_significant
IAV_P01	REACTOME_SIGNALING_BY_THE_B_CELL_RECEPTOR_BCR	97	0.38931688418422883	0.3419541801082618	0.5002368197773097	1.2849091321212578	9.999000099990002e-05	0.020618556701030927	0.16494845360824742	0.23711340206185566	10000	0.00032937882682320004	Antigen_adaptive_immunity	Adaptive_Immunity	False	False	True	RSV_shifted
