screen	preregistered_domain	pathways_tested_n	observed_mean_log_enrichment	observed_geometric_mean_enrichment	null_mean_log_enrichment	empirical_p_one_sided	significant_pathways_FDR05_n	median_pathway_FDR	median_pathway_enrichment_ratio	n_permutations	FDR_within_screen	domain_order
IAV_P01	Interferon	8	0.04289149760112548	1.0438246312295436	0.2629790156806457	0.9972002799720028	2	0.336415245165241	1.0343439196802064	10000	0.9972002799720029	1
IAV_P01	Innate_Cytokine	10	0.13771285524161264	1.1476459624341355	0.2628428418292324	0.9386061393860614	4	0.20076733585382717	1.0726868603806952	10000	0.9972002799720029	2
IAV_P01	Antigen_Presentation	8	0.23944831361614924	1.2705480128964588	0.2637139782333488	0.5858414158584142	5	0.030712445996779598	1.1845354247256477	10000	0.9895610438956105	3
IAV_P01	Neutrophil_Monocyte	2	0.14183072212265846	1.1523815593210773	0.2627419058104643	0.6427357264273572	1	0.037010778560153	1.1547851010414185	10000	0.9895610438956105	4
IAV_P01	Adaptive_Immunity	10	0.2621438263036014	1.2997134619700623	0.26277530486713796	0.48965103489651035	8	0.0058654360006833	1.2422451702498902	10000	0.9895610438956105	5
IAV_P01	Metabolism	10	0.21275668258444091	1.2370836106339045	0.26254206611992703	0.7068293170682932	4	0.0837829402972888	1.1173610053540974	10000	0.9895610438956105	6
IAV_P01	Translation	8	0.7590905961310617	2.13633254775475	0.26211135202453373	9.999000099990002e-05	8	0.0003293788268232	2.1642695430776238	10000	0.0006999300069993001	7
RSV_P01_viability_POS	Interferon	8	-0.0020792388151042746	0.9979229213045266	-0.07116794359730613	0.013298670132986702	0	1.0	1.0095453010787616	10000	0.09309069093090691	1
RSV_P01_viability_POS	Innate_Cytokine	10	-0.0673172359025233	0.9348985708964455	-0.07209972702714582	0.43815618438156184	0	1.0	0.9263939430629615	10000	0.6134186581341866	2
RSV_P01_viability_POS	Antigen_Presentation	8	-0.02938583123325144	0.9710417339501363	-0.07229476403156739	0.0898910108989101	0	1.0	0.9770350117810453	10000	0.31461853814618534	3
RSV_P01_viability_POS	Neutrophil_Monocyte	2	-0.030622156557628552	0.9698419522764823	-0.07218678888172572	0.28887111288871115	0	1.0	0.9708260939184162	10000	0.5055244475552445	4
RSV_P01_viability_POS	Adaptive_Immunity	10	-0.04837170103201739	0.9527795721003119	-0.07234346295959838	0.1952804719528047	0	1.0	0.9619809759873833	10000	0.4556544345565443	5
RSV_P01_viability_POS	Metabolism	10	-0.11231185315275141	0.8937654904494076	-0.07174555539036213	0.9251074892510749	0	1.0	0.8782730715981679	10000	0.9998000199980002	6
RSV_P01_viability_POS	Translation	8	-0.18022913604717367	0.8350788428222656	-0.07137079517720889	0.9998000199980002	0	1.0	0.8345007459089928	10000	0.9998000199980002	7
RSV_P02_early_POS	Interferon	8	-0.027167057722622633	0.9731986475937027	-0.07396979265010079	0.0796920307969203	0	1.0	0.9808983613102975	10000	0.27892210778922105	1
RSV_P02_early_POS	Innate_Cytokine	10	-0.12011343243698278	0.8868198368763612	-0.07391482063565624	0.9512048795120488	0	1.0	0.866944542651515	10000	0.9992000799920008	2
RSV_P02_early_POS	Antigen_Presentation	8	-0.05366497770716022	0.9477495705542266	-0.07387126691811198	0.26037396260373963	0	1.0	0.9630917843955213	10000	0.5333466653334666	3
RSV_P02_early_POS	Neutrophil_Monocyte	2	-0.04128824373410227	0.9595525050848897	-0.07427966188866056	0.3047695230476952	0	1.0	0.9627551966656256	10000	0.5333466653334666	4
RSV_P02_early_POS	Adaptive_Immunity	10	0.011899437512189593	1.0119705174761433	-0.07342186434607466	0.0017998200179982	0	1.0	0.9797898095084248	10000	0.0125987401259874	5
RSV_P02_early_POS	Metabolism	10	-0.09952644631855326	0.9052660085986913	-0.07416633906445634	0.8091190880911909	0	1.0	0.9071801844806677	10000	0.9992000799920008	6
RSV_P02_early_POS	Translation	8	-0.1654486979004256	0.8475133413034804	-0.07354258262446321	0.9992000799920008	0	1.0	0.8371739595764877	10000	0.9992000799920008	7
