screen	TF	evaluable_targets_n	observed_mean_normalized_rank	observed_median_normalized_rank	null_mean_normalized_rank	rank_enrichment_ratio	empirical_p_one_sided	fraction_top_1pct	fraction_top_5pct	fraction_top_10pct	n_permutations	FDR_within_screen
IAV_P01	AHR	24	0.4545924690615489	0.42514626278090656	0.4999694313066142	1.0998189924675623	0.22197780221977803	0.0	0.041666666666666664	0.041666666666666664	10000	0.374042595740426
IAV_P01	AP1	72	0.42432761647863626	0.3554869046968123	0.4998759257993572	1.1780424049409581	0.0131986801319868	0.013888888888888888	0.08333333333333333	0.2361111111111111	10000	0.07393010698930107
IAV_P01	AR	69	0.46307553205736246	0.4662912132976106	0.5000243924240515	1.079790137480449	0.14858514148585142	0.0	0.028985507246376812	0.10144927536231885	10000	0.3075803530758035
IAV_P01	ATF3	20	0.39371753513040625	0.40986385258898794	0.4996649833233091	1.2690950713125113	0.055194480551944806	0.0	0.0	0.25	10000	0.19318068193180682
IAV_P01	CEBPA	29	0.36494897064563026	0.24211274536606703	0.4998769955937336	1.3697175106684163	0.006299370062993701	0.0	0.10344827586206896	0.20689655172413793	10000	0.07349265073492652
IAV_P01	CEBPB	53	0.4442911864746002	0.4662912132976106	0.49973652344898517	1.1247950413203949	0.0805919408059194	0.018867924528301886	0.05660377358490566	0.18867924528301888	10000	0.256428902564289
IAV_P01	CEBPG	33	0.38782709262232473	0.296243643720269	0.5001480084899518	1.2896159603192237	0.011998800119988001	0.0	0.06060606060606061	0.24242424242424243	10000	0.07393010698930107
IAV_P01	CREB1	54	0.40007756129468636	0.35524085515883863	0.49991317914228955	1.2495406578777533	0.004899510048995101	0.0	0.0	0.16666666666666666	10000	0.07349265073492652
IAV_P01	CTNNB1	34	0.49714228739229305	0.46363934605500573	0.49973722311386143	1.005219704272553	0.48285171482851713	0.029411764705882353	0.058823529411764705	0.17647058823529413	10000	0.5199631551996315
IAV_P01	EGR1	34	0.4148684680280335	0.35674449122423313	0.49968313515356383	1.2044374872081125	0.043795620437956206	0.029411764705882353	0.08823529411764706	0.14705882352941177	10000	0.17031630170316303
IAV_P01	ESR1	87	0.468561279533015	0.44086609437366725	0.5000763561791745	1.0672592423291325	0.14998500149985	0.0	0.011494252873563218	0.11494252873563218	10000	0.3075803530758035
IAV_P01	FOS	41	0.4409207720487725	0.38000984198151894	0.5003382571691101	1.1347577362804877	0.09759024097590241	0.0	0.0	0.21951219512195122	10000	0.284638202846382
IAV_P01	FOXO3	30	0.47625895346929853	0.47096615451910984	0.5000325616490787	1.0499173989414832	0.3257674232576742	0.0	0.03333333333333333	0.1	10000	0.4072092790720928
IAV_P01	HIF1A	62	0.4718418792187795	0.45751544644321723	0.49943661067202394	1.0584830059996635	0.2258774122587741	0.0	0.0	0.0967741935483871	10000	0.374042595740426
IAV_P01	HMGA1	12	0.326024750760931	0.19730439061731095	0.49929829086700567	1.5314735758609122	0.016698330166983303	0.0	0.0	0.16666666666666666	10000	0.07393010698930107
IAV_P01	HNF4A	37	0.4692807521283654	0.4651976597955055	0.4997066527952853	1.0648351770852031	0.26177382261773824	0.0	0.10810810810810811	0.1891891891891892	10000	0.374042595740426
IAV_P01	IRF1	31	0.46812026971967996	0.3602165235934168	0.5002040064625484	1.0685373798534312	0.26687331266873315	0.0	0.0	0.12903225806451613	10000	0.374042595740426
IAV_P01	IRF2	12	0.4806441030127399	0.41158619935480345	0.49890458426741036	1.0379916889445047	0.41485851414858516	0.0	0.0	0.08333333333333333	10000	0.484001599840016
IAV_P01	IRF3	15	0.5623270818524796	0.7943572639291377	0.4984515676089453	0.8864086111003074	0.7967203279672033	0.0	0.0	0.2	10000	0.8201532787897681
IAV_P01	IRF8	15	0.42014325550877574	0.4830772595549237	0.49875954398818956	1.1871178162415408	0.14588541145885411	0.0	0.0	0.13333333333333333	10000	0.3075803530758035
IAV_P01	JUN	80	0.48188665317950685	0.48594783749794956	0.49967144636120076	1.0369065900961338	0.29557044295570445	0.0	0.05	0.175	10000	0.3831468704981354
IAV_P01	NFATC1	19	0.49849348616223166	0.5375909016348625	0.5001084059731044	1.0032396006280955	0.49025097490250974	0.0	0.05263157894736842	0.10526315789473684	10000	0.5199631551996315
IAV_P01	NFKB	101	0.4808798666514364	0.4765159385422932	0.5004598424416776	1.0407169797450342	0.24747525247475252	0.009900990099009901	0.0297029702970297	0.1188118811881188	10000	0.374042595740426
IAV_P01	NFKB1	58	0.45787085133140143	0.37530756192246706	0.5001646336312953	1.0923705498546403	0.13208679132086792	0.0	0.034482758620689655	0.15517241379310345	10000	0.3075803530758035
IAV_P01	NR3C1	33	0.4720224277881886	0.47788288041992455	0.500420311927852	1.060162150075645	0.28457154284571545	0.0	0.0	0.15151515151515152	10000	0.3830770769076939
IAV_P01	PPARA	33	0.4885334287707299	0.5438241565968615	0.5004373441893373	1.0243666343336228	0.40735926407359263	0.0	0.030303030303030304	0.18181818181818182	10000	0.484001599840016
IAV_P01	PPARG	43	0.4530948199896494	0.40641915905735687	0.5000661092510812	1.1036676809999832	0.14238576142385762	0.0	0.046511627906976744	0.16279069767441862	10000	0.3075803530758035
IAV_P01	REL	13	0.48579431941015405	0.3043359396358467	0.5006106579406705	1.0304992008727196	0.42905709429057093	0.0	0.0	0.23076923076923078	10000	0.4844193000054833
IAV_P01	RELA	71	0.47912275446104374	0.4300945923779321	0.5003875394969192	1.0443827491762436	0.26717328267173285	0.0	0.014084507042253521	0.1267605633802817	10000	0.374042595740426
IAV_P01	SP1	181	0.4401051382212356	0.4180655038547761	0.5003428559690349	1.1368711985305624	0.0029997000299970002	0.011049723756906077	0.07734806629834254	0.17679558011049723	10000	0.07349265073492652
IAV_P01	SP3	55	0.41888169242316553	0.32773798458089565	0.5000296798373587	1.1937253140493314	0.0168983101689831	0.0	0.09090909090909091	0.21818181818181817	10000	0.07393010698930107
IAV_P01	SPI1	60	0.4673683634971841	0.42301383345180166	0.5001340091493975	1.0701066828893542	0.19388061193880612	0.0	0.0	0.08333333333333333	10000	0.3571484956767481
IAV_P01	STAT1	53	0.5410882095331042	0.5666247471157526	0.4996919086325733	0.9234943579046916	0.849015098490151	0.0	0.018867924528301886	0.09433962264150944	10000	0.849015098490151
IAV_P01	STAT2	11	0.41238896703930333	0.37787741265241404	0.5005547144582685	1.2137926920109925	0.1581841815818418	0.0	0.0	0.09090909090909091	10000	0.3075803530758035
IAV_P01	STAT3	55	0.4117129521470929	0.40641915905735687	0.5008264760238395	1.216445762544067	0.011498850114988501	0.0	0.07272727272727272	0.16363636363636364	10000	0.07393010698930107
RSV_P01_viability_POS	AHR	24	0.5614541499330656	0.5293555173073246	0.4999464363406005	0.8904492671399831	0.8539146085391461	0.041666666666666664	0.041666666666666664	0.125	10000	0.9900009999000099
RSV_P01_viability_POS	AP1	73	0.5221001422519825	0.5371485943775101	0.5001163216466649	0.9578934789971623	0.7393260673932607	0.0136986301369863	0.0410958904109589	0.0821917808219178	10000	0.9900009999000099
RSV_P01_viability_POS	AR	72	0.5762886200888209	0.6043459552495698	0.5003525961650837	0.8682326506603002	0.9857014298570143	0.013888888888888888	0.013888888888888888	0.041666666666666664	10000	0.9900009999000099
